,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Tota,Tota,Tota,,,,,,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
13,Jamie Vardy,753,2024-2025,37,eng ENG,Leicester City,eng Premier League,9,753,8.4,9,0,0,4,0,4,3,1,1,0,63,102,61.8,5,2,4,1,7,918,85,34,49,69.4,18,25,72.0,5,5,100.0,FW,45963054
14,Chris Wood,721,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,9,721,8.0,9,0,0,7,0,7,6,1,1,0,78,120,65.0,4,4,2,1,8,1085,236,46,65,70.8,23,32,71.9,4,7,57.1,FW,4e9a0555
15,Yoane Wissa,404,2024-2025,27,cd COD,Brentford,eng Premier League,6,404,4.5,5,1,0,5,1,6,5,0,0,0,82,99,82.8,4,9,0,0,9,1250,318,49,58,84.5,25,29,86.2,6,10,60.0,FW,2500cef9
16,Anthony Gordon,682,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,8,682,7.6,8,0,0,2,0,2,1,1,2,1,178,242,73.6,18,13,13,8,9,2537,731,108,124,87.1,55,74,74.3,9,23,39.1,FW,2bd83368
17,Dominic Calvert-Lewin,763,2024-2025,27,eng ENG,Everton,eng Premier League,9,763,8.5,9,0,0,2,1,3,2,0,0,0,75,127,59.1,3,10,2,0,9,857,237,58,85,68.2,11,25,44.0,2,5,40.0,FW,59e6e5bf
18,Alexander Isak,585,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,7,585,6.5,7,0,0,2,1,3,2,0,0,0,79,112,70.5,7,5,1,0,9,1150,191,45,58,77.6,29,33,87.9,1,4,25.0,FW,8e92be30
19,Jordan Ayew,426,2024-2025,32,gh GHA,2 Teams,eng Premier League,9,426,4.7,4,5,0,1,0,1,1,0,0,0,96,124,77.4,4,5,3,2,9,1405,251,54,59,91.5,35,49,71.4,4,10,40.0,FWMF,da052c14
20,Jean-Philippe Mateta,574,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,9,574,6.4,7,2,0,3,0,3,2,1,1,0,63,97,64.9,7,5,3,0,10,788,225,45,58,77.6,12,19,63.2,2,7,28.6,FW,50e6dc35
21,Nikola Milenković,720,2024-2025,26,rs SRB,Nott'ham Forest,eng Premier League,8,720,8.0,8,0,0,0,1,1,0,0,0,0,202,237,85.2,3,13,0,0,10,3987,1553,70,78,89.7,100,115,87.0,29,36,80.6,DF,bee704fc
22,Matthijs de Ligt,581,2024-2025,24,nl NED,Manchester Utd,eng Premier League,9,581,6.5,6,3,0,1,0,1,1,0,0,0,331,365,90.7,2,17,0,0,10,5744,1370,120,132,90.9,193,199,97.0,14,27,51.9,DF,d6e53a3a
23,Joshua Zirkzee,411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,9,411,4.6,4,5,0,1,1,2,1,0,0,0,86,116,74.1,6,9,2,0,11,1042,276,60,73,82.2,19,24,79.2,2,5,40.0,FW,028e70b9
24,Anthony Elanga,498,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,9,498,5.5,6,3,0,0,1,1,0,0,0,0,107,162,66.0,10,4,4,0,11,1579,527,64,76,84.2,23,39,59.0,11,28,39.3,FW,2fba6108
25,Michael Keane,720,2024-2025,31,eng ENG,Everton,eng Premier League,8,720,8.0,8,0,1,2,0,2,2,0,0,0,223,274,81.4,2,16,0,0,11,5170,1683,66,75,88.0,102,113,90.3,53,70,75.7,DF,c5b7c315
26,Toti Gomes,585,2024-2025,25,pt POR,Wolves,eng Premier League,7,585,6.5,7,0,0,0,1,1,0,0,0,0,263,316,83.2,1,13,0,0,11,4585,1459,109,121,90.1,135,148,91.2,18,31,58.1,DF,f0caab96
27,Maxence Lacroix,540,2024-2025,24,fr FRA,Crystal Palace,eng Premier League,6,540,6.0,6,0,0,0,1,1,0,0,0,0,226,285,79.3,3,23,0,0,12,4689,1940,73,89,82.0,120,137,87.6,31,52,59.6,DF,277c49ed
28,Gabriel Martinelli,552,2024-2025,23,br BRA,Arsenal,eng Premier League,9,552,6.1,6,3,0,2,2,4,2,0,0,0,128,178,71.9,12,2,9,5,12,1914,424,80,101,79.2,39,52,75.0,7,11,63.6,MFFW,48a5a5d6
29,Alejandro Garnacho,591,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,9,591,6.6,6,3,0,2,1,3,2,0,0,0,164,211,77.7,10,5,4,1,12,2519,357,100,113,88.5,46,54,85.2,13,23,56.5,FW,7aa8adfe
30,Michail Antonio,558,2024-2025,34,jm JAM,West Ham,eng Premier League,9,558,6.2,8,1,0,1,1,2,1,0,0,0,73,122,59.8,6,8,4,2,12,1476,269,30,44,68.2,26,40,65.0,15,21,71.4,FW,ac05f970
31,Raúl Jiménez,518,2024-2025,33,mx MEX,Fulham,eng Premier League,9,518,5.8,6,3,0,4,1,5,3,1,1,0,80,111,72.1,8,7,2,0,12,1241,319,43,54,79.6,22,30,73.3,8,9,88.9,FW,b561db50
32,Yankuba Minteh,406,2024-2025,20,gm GAM,Brighton,eng Premier League,7,406,4.5,5,2,0,1,1,2,1,0,0,0,79,130,60.8,8,6,8,3,12,1297,452,41,54,75.9,28,41,68.3,7,16,43.8,FWMF,c3cf087d
33,Lucas Digne,678,2024-2025,31,fr FRA,Aston Villa,eng Premier League,9,678,7.5,9,0,0,0,2,2,0,0,0,0,295,377,78.2,8,8,11,6,13,4678,1295,151,165,91.5,124,158,78.5,15,35,42.9,DF,1b84dbe1
34,Dara O'Shea,512,2024-2025,25,ie IRL,Ipswich Town,eng Premier League,6,512,5.7,6,0,1,0,0,0,0,0,0,0,228,292,78.1,0,19,0,0,13,4498,2000,82,88,93.2,120,145,82.8,24,52,46.2,DF,1d042188
