,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Stan,Stan,Stan,Stan,Stan,Stan,Stan,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
42,Idrissa Gana Gueye,554,2024-2025,34,sn SEN,Everton,eng Premier League,8,554,6.2,6,2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0.2,0.6,-0.6,-0.6,0.0,0.08,7,0.00,0.00,1,14.3,21.8,0,MF,72c812f3
43,Kenny Tete,796,2024-2025,28,nl NED,Fulham,eng Premier League,9,796,8.8,9,0,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.2,1.1,-0.8,-0.8,-0.3,0.06,13,0.00,0.00,1,7.7,14.9,0,DF,77d7c96f
44,Amadou Onana,540,2024-2025,22,be BEL,Aston Villa,eng Premier League,8,540,6.0,8,0,0,2,0,2,2,0,0,0,1.3,1.3,0.1,1.4,0.2,1.4,+0.7,+0.7,-0.1,0.16,8,0.25,0.67,3,37.5,10.9,0,MF,828657ff
45,Wout Faes,810,2024-2025,26,be BEL,Leicester City,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.8,0.8,0.0,0.8,0.2,0.8,+0.2,+0.2,0.0,0.17,5,0.20,1.00,1,20.0,8.8,0,DF,9c221d14
46,Carlos Baleba,572,2024-2025,20,cm CMR,Brighton,eng Premier League,8,572,6.4,7,1,1,1,1,2,1,0,0,0,0.8,0.8,0.3,1.1,0.2,1.1,+0.2,+0.2,+0.7,0.06,15,0.07,0.20,5,33.3,24.2,0,MF,a1390d2f
47,Dan Burn,810,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,0.2,0.6,-0.4,-0.4,-0.1,0.06,7,0.00,0.00,2,28.6,11.9,0,DF,b2d31e83
48,Saša Lukić,547,2024-2025,27,rs SRB,Fulham,eng Premier League,7,547,6.1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.2,0.3,0.0,0.0,-0.3,,0,,,0,,,0,MF,c6e8cf1f
49,Marc Guéhi,810,2024-2025,24,eng ENG,Crystal Palace,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.3,0.3,0.0,0.4,0.2,0.4,+0.7,+0.7,0.0,0.17,2,0.50,0.50,2,100.0,5.7,0,DF,d0706b27
50,Virgil van Dijk,810,2024-2025,33,nl NED,Liverpool,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,0.5,0.5,0.2,0.7,0.2,0.7,+0.5,+0.5,-0.2,0.08,6,0.17,0.50,2,33.3,17.9,1,DF,e06683ca
51,James Justin,810,2024-2025,26,eng ENG,Leicester City,eng Premier League,9,810,9.0,9,0,0,2,1,3,2,0,0,0,0.4,0.4,0.3,0.7,0.2,0.7,+1.6,+1.6,+0.7,0.05,8,0.25,1.00,2,25.0,14.6,0,DF,fb614c44
52,Konstantinos Mavropanos,560,2024-2025,26,gr GRE,West Ham,eng Premier League,8,560,6.2,6,2,1,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.3,0.2,-0.2,-0.2,0.0,0.04,6,0.00,0.00,1,16.7,20.3,0,DF,00963611
